abbr,state,state_fips,state_icpsr,region,pop_2017,top25_newspaper,newspaper_circulation2010,total_newspapers,legprofscore,least_professional,most_professional,referendum,gov_election2018,safe_election2018,tossup_election2018,legislative_liberalism2014,most_conservative,most_liberal,termlim,know_gov2007,total_legislators,sen_dem_prop,most_dem_senate,most_rep_senate,house_dem_prop,most_rep_house,most_dem_house,leg_control,gov_party,state_control
AZ,Arizona,4,61,West,"7,016,270",1,579000,49,0.23199999,0,1,1,1,0,0,-0.92714101,0,0,1,52.1,90,0.433,0,0,0.417,0,0,Rep,Rep,Rep
CA,California,6,71,West,"39,536,653",1,6041000,186,0.62599999,0,1,1,1,1,0,2.4825499,0,1,1,88.31,120,0.675,1,0,0.675,0,1,Dem,Dem,Dem
FL,Florida,12,43,South,"20,984,400",1,2660000,130,0.223,0,0,1,1,0,1,-1.02951,0,0,1,70.13,160,0.375,0,0,0.342,0,0,Rep,Rep,Rep
IL,Illinois,17,21,Midwest,"12,802,023",1,1753000,198,0.26100001,0,1,1,1,0,1,0.91583103,0,0,0,70.38,177,0.627,1,0,0.568,0,0,Dem,Rep,Divided
MA,Massachusetts,25,3,Northeast,"6,859,819",1,1073000,163,0.38499999,0,1,1,1,1,0,2.21577,0,1,0,67.56,200,0.85,1,0,0.769,0,1,Dem,Rep,Divided
MT,Montana,30,64,West,"1,050,493",0,172000,17,0.075999998,1,0,1,0,NA,NA,0.26688099,0,0,1,60.82,150,0.36,0,0,0.41,0,0,Rep,Dem,Divided
NV,Nevada,32,65,West,"2,998,039",1,248000,28,0.138,0,0,1,1,0,1,-0.15727399,0,0,1,63.56,63,0.476,0,0,0.643,0,1,Dem,Rep,Divided
NJ,New Jersey,34,12,Northeast,"9,005,644",1,906000,81,0.244,0,1,0,0,NA,NA,2.5148799,0,1,0,68.47,120,0.625,1,0,0.675,0,1,Dem,Dem,Dem
NY,New York,36,13,Northeast,"19,849,399",1,5981000,200,0.47999999,0,1,0,1,1,0,2.3669701,0,1,0,65.96,213,0.508,0,0,0.72,0,1,Dem,Dem,Dem
ND,North Dakota,38,36,Midwest,"755,393",0,146000,19,0.050999999,1,0,1,0,NA,NA,-1.50638,1,0,0,69.4,141,0.191,0,1,0.138,1,0,Rep,Rep,Rep
OH,Ohio,39,24,Midwest,"11,658,609",1,1836000,109,0.30399999,0,1,1,1,0,0,-0.023545001,0,0,1,44.75,132,0.273,0,0,0.333,0,0,Rep,Rep,Rep
TX,Texas,48,49,South,"28,304,596",1,2105000,184,0.199,0,0,0,1,1,0,-0.80166101,0,0,0,60.07,181,0.355,0,0,0.367,0,0,Rep,Rep,Rep
UT,Utah,49,67,West,"3,101,833",0,307000,19,0.064999998,1,0,1,0,NA,NA,-1.1421601,0,0,0,67.89,104,0.172,0,1,0.173,1,0,Rep,Rep,Rep
VA,Virginia,51,40,South,"8,470,020",1,2937000,84,0.131,0,0,0,0,NA,NA,-0.95192599,0,0,0,35.25,140,0.475,0,0,0.49,0,0,Rep,Dem,Divided
WY,Wyoming,56,68,West,"579,315",0,82000,6,0.054000001,1,0,1,1,1,0,-1.10964,0,0,0,75.59,90,0.1,0,1,0.15,1,0,Rep,Rep,Rep
