"State","Chamber","District","Name","Twitter","Party","office.firstElect","office.lastElect","committee.count","mov02","ethnicity","male","year_first_elected","seniority","leadership","professional","election18","legprofscore","term_limit","term_length","has_term_limits","last_term","staff","legprofscore_sd","staff_sd","committee.count_sd","seniority_sd","mov02_sd"
"AZ","House/Assembly","1","David Stringer","","Republican","11/06/2018","11/06/2018",7,17.2,"white",1,2018,1,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,0.219939567162447,-0.964429248382352,-0.852291542324846
"AZ","House/Assembly","1","Noel W. Campbell","","Republican","11/04/2014","11/06/2018",3,17.2,"white",1,2014,5,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-0.776097572144031,-0.424090734685178,-0.852291542324846
"AZ","House/Assembly","10","Kirsten Engel","engelforarizona","Democratic","11/08/2016","11/06/2018",2,2.9,"white",0,2016,3,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-1.02510685697065,-0.694259991533765,-1.24537286289521
"AZ","House/Assembly","10","Todd Clodfelter","tc4az","Republican",NA,NA,NA,2.9,"white",1,NA,NA,NA,"Most Professional","No election",0.23199999,8,2,1,NA,618,-0.11217055595125,-0.543795863726631,NA,NA,-1.24537286289521
"AZ","House/Assembly","11","Mark Finchem","markfinchem","Republican","11/04/2014","11/06/2018",4,6.1,"white",1,2014,5,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-0.527088287317411,-0.424090734685178,-1.157410609341
"AZ","House/Assembly","11","Vince Leach","vinceleach","Republican","11/06/2018","11/06/2018",6,6.1,"white",1,2018,1,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-0.0290697176641724,-0.964429248382352,-1.157410609341
"AZ","House/Assembly","12","Eddie Farnsworth","farnswortheddie","Republican","11/06/2018","11/06/2018",5,9.8,"white",1,2018,1,1,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-0.278079002490792,-0.964429248382352,-1.05570425366895
"AZ","House/Assembly","12","Travis Grantham","travisgrantham","Republican","11/08/2016","11/06/2018",4,9.8,"white",1,2016,3,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-0.527088287317411,-0.694259991533765,-1.05570425366895
"AZ","House/Assembly","13","Darin Mitchell","electdarin","Republican",NA,NA,NA,12.8,"white",1,NA,NA,NA,"Most Professional","No election",0.23199999,8,2,1,NA,618,-0.11217055595125,-0.543795863726631,NA,NA,-0.97323964096188
"AZ","House/Assembly","13","Don Shooter","sendonshooter","Republican",NA,NA,NA,12.8,"white",1,NA,NA,NA,"Most Professional","No election",0.23199999,8,2,1,NA,618,-0.11217055595125,-0.543795863726631,NA,NA,-0.97323964096188
"AZ","House/Assembly","14","Becky Nutt","beckynutt3","Republican","11/08/2016","11/06/2018",6,14.3,"white",0,2016,3,1,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-0.0290697176641724,-0.694259991533765,-0.932007334608346
"AZ","House/Assembly","14","Drew John","drewjohnaz","Republican",NA,NA,NA,14.3,"white",1,NA,NA,NA,"Most Professional","No election",0.23199999,8,2,1,NA,618,-0.11217055595125,-0.543795863726631,NA,NA,-0.932007334608346
"AZ","House/Assembly","15","Heather Carter","heathercarteraz","Republican","11/06/2018","11/06/2018",3,6.1,"white",0,2018,1,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-0.776097572144031,-0.964429248382352,-1.157410609341
"AZ","House/Assembly","15","John M. Allen","","Republican","11/06/2012","11/06/2018",6,6.1,"white",1,2012,7,0,"Most Professional","No election",0.23199999,8,2,1,1,618,-0.11217055595125,-0.543795863726631,-0.0290697176641724,-0.15392147783659,-1.157410609341
"AZ","House/Assembly","16","Doug Coleman","douglas_coleman","Republican",NA,NA,NA,10,"white",1,NA,NA,NA,"Most Professional","No election",0.23199999,8,2,1,NA,618,-0.11217055595125,-0.543795863726631,NA,NA,-1.05020661282181
"AZ","House/Assembly","16","Kelly Townsend","kellytownsend11","Republican","11/06/2012","11/06/2018",3,10,"white",0,2012,7,0,"Most Professional","No election",0.23199999,8,2,1,1,618,-0.11217055595125,-0.543795863726631,-0.776097572144031,-0.15392147783659,-1.05020661282181
"AZ","House/Assembly","17","Javan D. ""J.D."" Mesnard","jdmesnard","Republican",NA,NA,NA,2.3,"white",1,NA,NA,NA,"Most Professional","No election",0.23199999,8,2,1,NA,618,-0.11217055595125,-0.543795863726631,NA,NA,-1.26186578543662
"AZ","House/Assembly","17","Jeff Weninger","jeffweninger","Republican","11/06/2018","11/06/2018",2,2.3,"white",0,2018,1,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-1.02510685697065,-0.964429248382352,-1.26186578543662
"AZ","House/Assembly","18","Denise ""Mitzi"" Epstein","mitziepstein","Democratic","11/08/2016","11/06/2018",2,3.2,"white",0,2016,3,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,-1.02510685697065,-0.694259991533765,-1.2371264016245
"AZ","House/Assembly","18","Jill Norgaard","jillnorgaard","Republican",NA,NA,NA,3.2,"white",0,NA,NA,NA,"Most Professional","No election",0.23199999,8,2,1,NA,618,-0.11217055595125,-0.543795863726631,NA,NA,-1.2371264016245
"AZ","House/Assembly","19","Diego Espinoza","espinozadiego19","Democratic","11/04/2014","11/06/2018",7,100,"hispanic",1,2014,5,0,"Most Professional","No election",0.23199999,8,2,1,0,618,-0.11217055595125,-0.543795863726631,0.219939567162447,-0.424090734685178,1.42373176839025
