"tweet_id","top_topic","clean_text_cnn","user_id","user_name"
"1014535741873979392","No policy issue","mmmm ok adults under __num__ are emotionally bound to the availability of avacado toast seems legit __link__","438529528","genefortexas"
"1014558154640773120","Defense","one flag one land one heart one hand one nation evermore happy independence day 4thofjuly 🇺 🇸 __link__","17025489","rafaelanchia"
"1014361837184352256","No policy issue","rt benshapiro breaking the la lakers have now signed with the golden state warriors","221659600","diegobernaltx"
"1014566630515503104","No policy issue","rt utaustin happy 4thofjuly longhorns 🇺 🇸 🤘 __link__","355237624","cortezphilip"
"1014326196287492096","No policy issue","these three mijos put in some work today coach nate giving them instruction takes lots of patience with 7yr olds but proud they are progressing and playing well mandito nate and jackson will thank coach nate and coach daniel when they get older baseballlife txlege __link__","574185893","repwalle"
"1014358462623559680","Immigration","rt thehill trump admin ordering migrant parents separated from kids to leave us with or without them __link__ __link__ …","40557819","senatorsylvia"
"1014358462623559680","Immigration","rt thehill trump admin ordering migrant parents separated from kids to leave us with or without them __link__ __link__ …","40557819","senatorsylvia"
"1014345523917213696","No policy issue","honored to join thomas jefferson high schools retiring principal orlando vera on his last day of service with saisd mr vera also dedicated an engraved memorial bench honoring the memory of mrs evangelina lopez garza__link__ menendez4tx __link__","503272829","menendez4texas"
"1014608250308833280","Intl. Affairs","rt sethabramson can you believe republican congressmen are in moscow meeting with the men who coordinated russias prorepublican attack …","221659600","diegobernaltx"
"1014569900323622912","Transportation","rt metrohouston attention riders metro bus and rail service impacted by flash flooding metrorail red line affected south of smithlands …","56717592","repthierry146"
"1014346242997014528","No policy issue","rt mobileloaves our story began nearly __num__ years ago listen and subscribe to our new gospel con carne podcast and hear alan graham chat w …","102792727","kirkpwatson"
"1014345732294430720","Law and Crime","rt randybeamer volunteers talk about reuniting families through raicestexas hotline __link__ news4sa davidcaltabiano ht …","221659600","diegobernaltx"
"1014480458384642048","No policy issue","rt billkristol this ad will air tomorrow morning july 4th on selected stations including fox news to remind our fellow americans repu …","112899475","donnahowardtx"
"1014498396483276800","Education","this is the very worst way to feed white resentment if you actually want to help white workingclass families 1ban legacy admissions 2give generous tuition support 3restore gi bill 4fully fund primary education 5regulate university tuition","438529528","genefortexas"
"1014565988522741760","No policy issue","rt artacevedo houstonpolice dept operations center has been activated and monitoring weather event please be careful and do not try to …","574185893","repwalle"
"1014608388116926464","Intl. Affairs","rt washingtonpost senate report affirms intelligence communitys conclusion that russia favored trump over clinton __link__","221659600","diegobernaltx"
"1014531289364525056","No policy issue","i was humbly asked to be the grand marshall in the northwest cop watch 4thofjuly parade this morning 🗽 🇺 🇸 hd124 teamina __link__","3065062453","vote4ina"
"1014546626604621824","No policy issue","this rain wo nt put a damper on our 4th of july spirit thanks to everyone who participated in the lindale park parade sd6 __link__","40557819","senatorsylvia"
"1014546626604621824","No policy issue","this rain wo nt put a damper on our 4th of july spirit thanks to everyone who participated in the lindale park parade sd6 __link__","40557819","senatorsylvia"
"1014612699043581952","Healthcare","paying doctors to do better instead of to do more is essential for a highervalue health system if not done carefully we risk leaving some patients behind better care for those dealt a bad hand will mean making sure doctors are nt playing against a stacked deck txlege __link__","112899475","donnahowardtx"
"1014504129136353280","Education","rt txworkforce college credits for heroes veterans transfer your military service into college credits expedite your transition into the texas workforce __link__ towh __link__","214133792","senatorlucio"
"1014345881305403392","Immigration","rt repmarygonzalez fort bliss will begin housing immigrant children families in tents similar to the tornillo shelter in the coming wee …","17025489","rafaelanchia"
"1014309667319709696","No policy issue","great time meeting former del rio councilmember current school board trustee fred contreras volunteers at our field office before stopping by the delriochamber drhcc reception for mayor lozano the queen city has a bright future ahead w energized leaders sd19 txlege __link__","256074273","rolandfortexas"
"1014562347921403904","No policy issue","looking forward to your events and happy 4th of july __link__","52935946","dianaarevalo"
"1014653806037159936","Gov. Operations","tom brady opts out of contract with patriots will sign with golden state warriors __link__ via googlenews","221659600","diegobernaltx"
"1014575902523580416","No policy issue","my first parade as a grand marshall thank you great northwest neighborhood for the honor — best july4th parade in hd124 🗽 __link__","3065062453","vote4ina"
"1014317916488130560","No policy issue","a good ole pasadena welcome for betoorourke standing room my friend former boss genegreen29 gave a great intro texasdemocrats __link__","113173142","repalvarado145"
"1014317916488130560","No policy issue","a good ole pasadena welcome for betoorourke standing room my friend former boss genegreen29 gave a great intro texasdemocrats __link__","113173142","repalvarado145"
"1014564999010963456","No policy issue","i truly believe our children are our future which is why i try to be the best mentor i can be team johnson interns represent the very best of dallas youth i m proud of each and every one of them congrats to the parents and grandparents of these kids — job well done txlege __link__","43467353","johnsonfortexas"
"1014564999010963456","No policy issue","i truly believe our children are our future which is why i try to be the best mentor i can be team johnson interns represent the very best of dallas youth i m proud of each and every one of them congrats to the parents and grandparents of these kids — job well done txlege __link__","43467353","johnsonfortexas"
"1014475197607567360","No policy issue","reminder 4th of july salute to freedom 4pm–10pm brownsville sports park __link__ more details at __link__ __link__","214133792","senatorlucio"
"1014341791682883584","Law and Crime","rt breebxtler hey tedcruz i was in sfhs that day i want gun violence prevention legislation something needs to be done __link__ …","175847438","moodyforelpaso"
"1014347944768700416","Gov. Operations","stopped by hglbtcaucus great reuniting with everyone after marches rallies prideparade much work to be done harrisdemocrats texasdemocrats houstonlgbtcoc outsmarthouston __link__","113173142","repalvarado145"
"1014347944768700416","Gov. Operations","stopped by hglbtcaucus great reuniting with everyone after marches rallies prideparade much work to be done harrisdemocrats texasdemocrats houstonlgbtcoc outsmarthouston __link__","113173142","repalvarado145"
"1014516825441361920","No policy issue","happy birthday kingsville on this day in texas history __year__ the first train to brownsville touches off kingsville celebration __link__ rgv kingsville july4 __link__","214133792","senatorlucio"
"1014559337086377984","No policy issue","por favor diosito its holding but not sure for how long stay safe txlege 4thofjulyfloods __link__","574185893","repwalle"
"1014319223202631680","Healthcare","developments toward the new utrgv institute of neurosciences are exciting this new facility will be another milestone in rural healthcare access bringing a tremendous amount of opportunity to the people of south texas i am __link__","19741685","ryanguillen"
"1014659508927385600","No policy issue","rt willowridgehs go eagles even in the rain you shine ✨ we love the way you blazeblue with classandcharacter __link__","37365390","ronereynolds"
"1014469268358955008","No policy issue","beautiful sunrise to begin independence day happy birthday america txlege __link__","28637224","chrisgturner"
