"State","Chamber","District","Name","Twitter","Party","updated2019","user_id","tweets_n","party"
"AZ","House/Assembly","2","Rosanna Gabaldon","rosannagabaldon","Democratic","-1","25640802","637","Democrat"
"AZ","House/Assembly","3","Macario Saldate IV","","Democratic","-1",NA,NA,"Democrat"
"AZ","House/Assembly","5","Paul Mosley","paulmosleyaz","Republican","-1","724771632703660032","719","Republican"
"AZ","House/Assembly","6","Brenda Barton","barton4az","Republican","-1",NA,NA,"Republican"
"AZ","House/Assembly","7","Eric Descheenie","ericdescheenie","Democratic","-1","730830543516884992","403","Democrat"
"AZ","House/Assembly","7","Wenona Benally","repbenally","Democratic","-1","109163827","500","Democrat"
"AZ","House/Assembly","10","Todd Clodfelter","tc4az","Republican","-1","330679414","171","Republican"
"AZ","House/Assembly","11","Vince Leach","vinceleach","Republican","-1","616780155","2383","Republican"
"AZ","House/Assembly","13","Darin Mitchell","electdarin","Republican","-1","1558981477","1","Republican"
"AZ","House/Assembly","13","Don Shooter","sendonshooter","Republican","-1",NA,NA,"Republican"
"AZ","House/Assembly","14","Drew John","drewjohnaz","Republican","-1",NA,NA,"Republican"
"AZ","House/Assembly","16","Doug Coleman","douglas_coleman","Republican","-1","582059179","76","Republican"
"AZ","House/Assembly","17","Javan D. ""J.D."" Mesnard","jdmesnard","Republican","-1","284994524","165","Republican"
"AZ","House/Assembly","18","Jill Norgaard","jillnorgaard","Republican","-1","1532793774","254","Republican"
"AZ","House/Assembly","19","Mark A. Cardenas","cardenasforaz","Democratic","-1","551256979","779","Democrat"
"AZ","House/Assembly","23","Michelle B. Ugenti-Rita","michelleugenti","Republican","-1","164160570","179","Republican"
"AZ","House/Assembly","24","Ken Clark","kenclarkforaz","Democratic","-1","17655062","882","Democrat"
"AZ","House/Assembly","27","Reginald Bolding, Jr.","reginaldbolding","Democratic","-1","21632252","163","Democrat"
"AZ","House/Assembly","28","Maria Syms","symsforaz","Republican","-1","402835409","372","Republican"
"AZ","House/Assembly","29","Cesar Chavez","cesarchavezaz","Democratic","-1","186655721","565","Democrat"
"AZ","House/Assembly","29","Richard C. Andrade","richforrepld29","Democratic","-1","2494724053","865","Democrat"
"AZ","House/Assembly","30","Ray Martinez","rayforaz","Democratic","-1",NA,NA,"Democrat"
"AZ","Senate","3","Olivia Cajero Bedford","","Democratic","-1",NA,NA,"Democrat"
"AZ","Senate","9","Steve Farley","stevefarleyaz","Democratic","-1","504962601","1182","Democrat"
"AZ","Senate","11","Steve Smith","senstevesmith","Republican","-1","803745400427397120","172","Republican"
"AZ","Senate","13","Steve Montenegro","stevemontenegro","Republican","-1","28147238","55","Republican"
"AZ","Senate","17","Steve Yarbrough","","Republican","-1",NA,NA,"Republican"
"AZ","Senate","20","Kimberly Yee","kimberlyyeeaz","Republican","-1","164054177","159","Republican"
"AZ","Senate","21","Debbie Lesko","debbielesko","Republican","-1","34715823","1687","Republican"
"AZ","Senate","22","Judy Burges","","Republican","-1",NA,NA,"Republican"
"AZ","Senate","24","Katie Hobbs","katiehobbs","Democratic","-1","26659619","631","Democrat"
"AZ","Senate","25","Bob Worsley","bob_worsley","Republican","-1","529638758","4","Republican"
"AZ","Senate","27","Catherine Miranda","miranda4arizona","Democratic","-1","325943840","516","Democrat"
"AZ","Senate","29","Martin J. Quezada","senquezada29","Democratic","-1","377010453","1455","Democrat"
"CA","House/Assembly","15","Tony Thurmond","tonythurmond","Democratic","-1","12228202","476","Democrat"
"CA","House/Assembly","16","Catharine B. Baker","cbakerad16","Republican","-1","2915757084","494","Republican"
"CA","House/Assembly","19","Philip Y. Ting","philting","Democratic","-1","21579611","812","Democrat"
"CA","House/Assembly","37","S. Monique Limon","asmmoniquelimon","Democratic","-1","813876296669282304","517","Democrat"
"CA","House/Assembly","38","Dante Acosta","danteacostascv","Republican","-1","534504010","7","Republican"
"CA","House/Assembly","40","Marc Steinorth","marcsteinorth","Republican","-1","743488590","1059","Republican"
"CA","House/Assembly","54","Sebastian Ridley-Thomas","sebastianmrt","Democratic","-1","141115815","75","Democrat"
"CA","House/Assembly","59","Reginald B. Jones-Sawyer Sr.","jonessawyer59","Democratic","-1","31622338","206","Democrat"
"CA","House/Assembly","62","Autumn R. Burke","asmautumnburke","Democratic","-1","2923391802","100","Democrat"
"CA","House/Assembly","72","Travis Allen","jointravisallen","Republican","-1","524832762","241","Republican"
"CA","House/Assembly","74","Matthew Harper","asmharper","Republican","-1","123886325","706","Republican"
"CA","House/Assembly","76","Rocky J. Chávez","asmrocky","Republican","-1",NA,NA,"Republican"
"CA","Senate","4","Jim Nielsen","casenatorjim","Republican","-1","724735882796781568","163","Republican"
"CA","Senate","8","Tom Berryhill","tomberryhill","Republican","-1","321490677","12","Republican"
"CA","Senate","12","Anthony Cannella","anthonycannella","Republican","-1","195638329","141","Republican"
"CA","Senate","14","Andy Vidak","senandyvidak","Republican","-1","1689528176","335","Republican"
"CA","Senate","16","Jean Fuller","jeanfuller","Republican","-1","21128266","178","Republican"
"CA","Senate","18","Robert M. Hertzberg","hertziela","Democratic","-1","55685994","447","Democrat"
"CA","Senate","22","Ed Hernandez","dredhernandez","Democratic","-1","63210596","875","Democrat"
"CA","Senate","24","Kevin de León","kdeleon","Democrat","-1","30815935","1020","Democrat"
"CA","Senate","26","Benjamin Allen","benallenca","Democratic","-1","2343386431","502","Democrat"
"CA","Senate","29","Josh Newman","senatornewmanca","Democratic","-1","823634468212645888","138","Democrat"
"CA","Senate","32","Tony Mendoza","mrtonymendoza","Democratic","-1","29827990","67","Democrat"
"CA","Senate","38","Joel Anderson","joelandersonca","Republican","-1","314083072","258","Republican"
"FL","House/Assembly","1","Clay Ingram","","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","2","Frank White","frankwhitefl","Republican","-1","2240083368","325","Republican"
"FL","House/Assembly","10","Elizabeth W. Porter","lizporterhd11","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","15","Jay Fant","jay_fant","Republican","-1","1954349336","97","Republican"
"FL","House/Assembly","18","W. Travis Cummings","travis_cummings","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","26","Patrick Henry","","Democratic","-1",NA,NA,"Democrat"
"FL","House/Assembly","28","Jason T. Brodeur","jasonbrodeur","Republican","-1","18641684","115","Republican"
"FL","House/Assembly","30","Robert """"Bob"""" Cortes","cortesbob","Republican","-1","612777130","465","Republican"
"FL","House/Assembly","32","Larry Metz","larrymetz","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","33","Don Hahnfeldt","dhahnflt","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","37","Richard Corcoran","richardcorcoran","Republican","-1","42132105","330","Republican"
"FL","House/Assembly","44","Robert """"Bobby O"""" Olszewski","bobbyolszewski","Republican","-1","85396078","783","Republican"
"FL","House/Assembly","47","Mike Miller","mike_miller_fl","Republican","-1","16874913","429","Republican"
"FL","House/Assembly","51","Tom Goodson","tgoodsonflhd50","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","57","Jake Raburn","jakeraburn","Republican","-1","21923741","34","Republican"
"FL","House/Assembly","59","Ross Spano","rossspano","Republican","-1","605615715","119","Republican"
"FL","House/Assembly","61","Sean Shaw","sshawfl","Democratic","-1","262829285","1592","Democrat"
"FL","House/Assembly","63","Shawn Harrison","shawnfor63","Republican","-1","43588117","441","Republican"
"FL","House/Assembly","65","Chris Sprowls","chrissprowls","Republican","-1","46096487","643","Republican"
"FL","House/Assembly","66","Larry Ahern","larry_ahern","Republican","-1","357242814","53","Republican"
"FL","House/Assembly","69","Kathleen M. Peters","kathleenmpeters","Republican","-1","545955539","102","Republican"
"FL","House/Assembly","71","Jim Boyd","repjimboyd","Republican","-1","40088751","736","Republican"
"FL","House/Assembly","74","Julio Gonzalez","juliogonzalezmd","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","79","Matt Caldwell","mattcaldwell_fl","Republican","-1","125802576","1159","Republican"
"FL","House/Assembly","81","Joseph Abruzzo","senatorabruzzo","Democratic","-1","2997394118","156","Democrat"
"FL","House/Assembly","83","Gayle B. Harrell","gayle_harrell","Republican","-1","1004834346","1","Republican"
"FL","House/Assembly","84","Larry Lee, Jr.","","Democratic","-1",NA,NA,"Democrat"
"FL","House/Assembly","89","Bill Hager","repbillhager","Republican","-1","385168483","285","Republican"
"FL","House/Assembly","92","Patricia H. Williams","reppatwilliams","Democratic","-1","825008323548295168","13","Democrat"
"FL","House/Assembly","93","George R. Moraitis, Jr.","repmoraitis","Republican","-1","96063952","30","Republican"
"FL","House/Assembly","95","Barrington Anthony Russell","","Democratic","-1",NA,NA,"Democrat"
"FL","House/Assembly","98","Katie A. Edwards","","Democratic","-1",NA,NA,"Democrat"
"FL","House/Assembly","105","Carlos Trujillo","repctrujillo","Republican","-1",NA,NA,"Republican"
"FL","House/Assembly","108","Roy Hardemon","reproyhardemon","Democratic","-1",NA,NA,"Democrat"
"FL","House/Assembly","109","Cynthia A. Stafford","","Democratic","-1",NA,NA,"Democrat"
"FL","House/Assembly","110","Jose R. Oliva","repjoseoliva","Republican","-1","37946269","58","Republican"
"FL","House/Assembly","113","David Richardson","david4florida","Democratic","-1","1280972058","802","Democrat"
"FL","House/Assembly","115","Michael Bileca","mbileca","Republican","-1","95090394","147","Republican"
"FL","House/Assembly","118","Robert Asencio","asencio2016","Democratic","-1",NA,NA,"Democrat"
"FL","House/Assembly","119","Jeanette M. Nuñez","repjnunez","Republican","-1","347303644","548","Republican"
"FL","Senate","14","Dorothy L. Hukill","dorothyhukill","Republican","-1","54041504","151","Republican"
"FL","Senate","16","Jack Latvala","jacklatvala","Republican","-1",NA,NA,"Republican"
"FL","Senate","18","Dana Young","danayoungfl","Republican","-1","74282530","544","Republican"
"FL","Senate","23","Greg Steube","gregsteube","Republican","-1","21924842","34","Republican"
"FL","Senate","25","Joe Negron","joenegronfl","Republican","-1","38778628","240","Republican"
